gage_id,div_id
gage1,1282661470107159
gage1,1282660262427239
gage1,1282660247034482
gage1,1282658935595762
gage1,1282658939923695
gage1,1282658837605513
gage1,1282658833508644
gage1,1282658906920995
gage1,1282658924245973
gage1,1282658827236353
gage1,1282658793486390
gage1,1282658780608168
gage1,1282658899050387
gage1,1282657645979182
gage1,1282657592151803
gage1,1282657584691043
gage1,1282658798200870
gage1,1282657562474914
gage1,1282657563402428
gage1,1282658781578657
gage1,1282658762583767
gage1,1282657503631726
gage1,1282656316894673
gage1,1282658710099708
gage1,1282658726380452
gage1,1282657521008683
gage1,1282657523362282
gage1,1282656245792688
gage1,1282656220323143
gage1,1282658708600396
gage1,1282658692739873
gage1,1282658737660013
gage1,1282657504362721
gage1,1282657425281056
gage1,1282656212531291
gage1,1282656194001352
gage1,1282659981334168
gage1,1282658743025934
gage1,1282657492735239
gage1,1282657489081066
gage1,1282657398393362
gage1,1282657387728671
gage1,1282654964723710
gage1,1282654935497597
gage1,1282658664979588
gage1,1282657398433857
gage1,1282657370440674
gage1,1282659918593610
gage1,1282659904754737
gage1,1282658578861974
gage1,1282658568379752
gage1,1282657348272951
gage1,1282657349863928
gage1,1282658596683372
gage1,1282658598398455
gage1,1282658581590240
gage1,1282658573808958
gage1,1282658570154297
gage1,1282656060725726
gage1,1282656110223845
gage1,1282657419434168
gage1,1282656187474449
gage1,1282656177270913
gage1,1282634191930109
gage1,1282658675232143
gage1,1282658611188179
gage1,1282656025480051
gage1,1282656090779563
gage1,1282656098411781
gage1,1282656166499552
gage1,1282632955085153
gage1,1282634186577011
gage1,1282654842921291
gage1,1282654844108656
gage1,1282656142676758
gage1,1282656132326432
gage1,1282632915387382
gage1,1282635400791087
gage1,1282634221647348
gage1,1282654883689096
gage1,1282631671322721
gage1,1282631662702786
gage1,1282635392310062
gage1,1282635336754221
gage1,1282635467195376
gage1,1282631599815988
gage1,1282631648350774
gage1,1282631633341181
gage1,1282631647192391
gage1,1282634151228962
gage1,1282634111249176
gage1,1282635492774736
gage1,1282635501295265
gage1,1282632840329412
gage1,1282631598747736
gage1,1282631576530417
gage1,1282630331598177
gage1,1282631637794400
gage1,1282631634147265
gage1,1282634122285301
gage1,1282634081243023
gage1,1282635331941861
gage1,1282635502442888
gage1,1282635487080506
gage1,1282636675150464
gage1,1282635442665038
gage1,1282632878190319
gage1,1282632864793443
gage1,1282631597447848
gage1,1282631584943559
gage1,1282630290367217
gage1,1282630321249544
gage1,1282656028821796
gage1,1282631622388622
gage1,1282634059522610
gage1,1282634064941245
gage1,1282635278423833
gage1,1282634047515338
gage1,1282636746393727
gage1,1282636740576770
gage1,1282635447953335
gage1,1282635427401562
gage1,1282631551620534
gage1,1282631587296155
gage1,1282656020817245
gage1,1282630385999092
gage1,1282654764937627
gage1,1282634009167489
gage1,1282634048922053
gage1,1282635218968905
gage1,1282634042190549
gage1,1282636685003419
gage1,1282636622940846
gage1,1282636609241033
gage1,1282635300753836
gage1,1282632793103845
gage1,1282630378484602
gage1,1282630363335214
gage1,1282654766526969
gage1,1282654753097760
gage1,1282632800882706
gage1,1282632807909096
gage1,1282635218518552
gage1,1282633983480592
gage1,1282636661571766
gage1,1282636657184808
gage1,1282636563477128
gage1,1282636502249555
gage1,1282630347827821
gage1,1282630337089705
gage1,1282654774359236
